ID,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,target
TRAIN_0023,25,Private,189775,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,0,0,20,United-States,0
TRAIN_0024,55,Private,256526,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,4865,0,45,United-States,0
TRAIN_0025,29,,142443,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,25,United-States,0
TRAIN_0026,57,Private,158077,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
TRAIN_0027,17,Local-gov,192387,9th,5,Never-married,Other-service,Own-child,White,Male,0,0,45,United-States,0
TRAIN_0028,19,,175495,HS-grad,9,Never-married,,Own-child,Black,Female,0,0,24,United-States,0
TRAIN_0029,66,Self-emp-inc,102663,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
TRAIN_0030,34,Private,112584,10th,6,Divorced,Other-service,Unmarried,White,Female,0,0,38,United-States,0
TRAIN_0031,30,Private,291951,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0
TRAIN_0032,17,,303317,11th,7,Never-married,,Own-child,White,Male,0,0,40,United-States,0
TRAIN_0033,44,Private,257758,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
TRAIN_0034,36,Private,129591,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
TRAIN_0035,32,Private,36467,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,1
TRAIN_0036,46,Private,153254,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
TRAIN_0037,32,Self-emp-not-inc,39369,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
TRAIN_0038,42,Private,325353,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,42,United-States,1
TRAIN_0039,19,Private,418324,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,36,United-States,0
TRAIN_0040,46,Local-gov,200947,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1
TRAIN_0041,20,Private,368852,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
TRAIN_0042,18,Private,225859,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,2907,0,30,United-States,0
TRAIN_0043,50,Private,102615,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,1
TRAIN_0044,28,Private,452808,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
TRAIN_0045,49,Private,149809,Preschool,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,,0
TRAIN_0046,19,Private,274657,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,50,Guatemala,0
TRAIN_0047,24,Local-gov,150084,Some-college,10,Separated,Protective-serv,Not-in-family,White,Male,0,0,60,United-States,0
TRAIN_0048,63,Private,117681,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,25,United-States,0
TRAIN_0049,44,Self-emp-not-inc,115896,Assoc-voc,11,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
TRAIN_0050,48,Private,161187,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,2463,0,40,United-States,0
TRAIN_0051,23,Private,182494,7th-8th,4,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
TRAIN_0052,61,,60641,Bachelors,13,Never-married,,Not-in-family,White,Female,0,0,45,United-States,0
TRAIN_0053,52,Private,84451,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,0,0,32,United-States,0
TRAIN_0054,46,Private,166546,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,24,United-States,0
TRAIN_0055,25,Private,279667,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
TRAIN_0056,62,Private,174711,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,32,United-States,0
TRAIN_0057,18,,42293,10th,6,Never-married,,Own-child,White,Female,0,0,30,United-States,0
TRAIN_0058,45,Self-emp-not-inc,49595,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,0
TRAIN_0059,20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,0
TRAIN_0060,42,Local-gov,70655,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,0
TRAIN_0061,43,Private,212894,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,1
TRAIN_0062,23,Private,526164,Bachelors,13,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
TRAIN_0063,37,Private,69481,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
TRAIN_0064,27,,146651,HS-grad,9,Married-civ-spouse,,Own-child,White,Female,0,0,15,United-States,0
TRAIN_0065,22,Private,427686,10th,6,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
TRAIN_0066,45,Local-gov,148254,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,0
TRAIN_0067,41,Private,165798,5th-6th,3,Divorced,Other-service,Unmarried,White,Female,0,0,40,Puerto-Rico,0
TRAIN_0068,60,Private,160339,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Columbia,0
TRAIN_0069,40,State-gov,59460,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
TRAIN_0070,42,Private,149210,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,45,United-States,1
TRAIN_0071,30,Private,347166,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,13550,0,45,United-States,1
TRAIN_0072,41,Private,297186,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,40,United-States,0
TRAIN_0073,41,State-gov,222434,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
TRAIN_0074,26,Private,68895,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,50,Mexico,0
TRAIN_0075,23,,190650,Bachelors,13,Never-married,,Not-in-family,Asian-Pac-Islander,Male,0,0,35,United-States,0
TRAIN_0076,46,Private,57929,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,25,United-States,0
TRAIN_0077,33,Private,169496,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
TRAIN_0078,38,State-gov,354591,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,114,0,38,United-States,0
TRAIN_0079,47,,224108,HS-grad,9,Widowed,,Unmarried,White,Female,0,0,40,United-States,0
TRAIN_0080,33,Private,155198,9th,5,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,35,United-States,0
TRAIN_0081,17,,161259,10th,6,Never-married,,Other-relative,White,Male,0,0,12,United-States,0
TRAIN_0082,45,Private,168283,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
TRAIN_0083,18,Self-emp-not-inc,29582,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
TRAIN_0084,28,Private,138692,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
TRAIN_0085,50,Self-emp-not-inc,167380,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
TRAIN_0086,38,Federal-gov,205852,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,1
TRAIN_0087,44,Private,260761,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
TRAIN_0088,24,Private,204935,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,56,United-States,0
TRAIN_0089,49,Private,102945,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0090,44,Private,206686,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
TRAIN_0091,38,Private,238721,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,0
TRAIN_0092,22,Private,239098,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0
TRAIN_0093,49,Private,247892,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,30,United-States,0
TRAIN_0094,39,Private,203204,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,1
TRAIN_0095,28,Private,266070,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0096,56,Private,200316,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United-States,0
TRAIN_0097,34,Private,159442,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,0
TRAIN_0098,28,Private,199903,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,0
TRAIN_0099,47,Private,169388,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,15,United-States,0
TRAIN_0100,40,Self-emp-inc,137367,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,0
TRAIN_0101,21,Private,286853,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,0
TRAIN_0102,49,Self-emp-not-inc,111066,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,1
TRAIN_0103,25,Private,130793,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,30,United-States,0
TRAIN_0104,47,Local-gov,200808,12th,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,Puerto-Rico,0
TRAIN_0105,58,Private,225603,9th,5,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,0
TRAIN_0106,29,Private,128604,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
TRAIN_0107,28,Private,308995,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Jamaica,0
TRAIN_0108,43,Private,105936,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,1
TRAIN_0109,30,Private,281030,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,0
TRAIN_0110,32,Private,190784,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
TRAIN_0111,35,Private,208378,12th,8,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
TRAIN_0112,66,,31362,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,20,United-States,0
TRAIN_0113,52,Private,76860,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,8,Philippines,0
TRAIN_0114,66,Private,178120,5th-6th,3,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,15,United-States,0
TRAIN_0115,28,Private,138269,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
TRAIN_0116,42,Federal-gov,172307,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,1
TRAIN_0117,31,Private,345277,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0118,52,Private,266529,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
TRAIN_0119,37,Private,114605,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
TRAIN_0120,51,Local-gov,108435,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,1
TRAIN_0121,20,Private,212668,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,0
TRAIN_0122,61,,198686,Assoc-acdm,12,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,1
TRAIN_0123,47,Private,168232,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,1
TRAIN_0124,22,Private,186452,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,0
TRAIN_0125,39,Self-emp-not-inc,124090,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
TRAIN_0126,52,Private,38795,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,1
TRAIN_0127,50,Federal-gov,20179,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
TRAIN_0128,18,,113185,11th,7,Never-married,,Own-child,White,Male,0,0,25,United-States,0
TRAIN_0129,50,State-gov,198103,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0130,28,Private,104024,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,0
TRAIN_0131,19,,180976,10th,6,Never-married,,Unmarried,White,Female,0,0,35,United-States,0
TRAIN_0132,31,Private,193132,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,42,United-States,0
TRAIN_0133,21,Private,219137,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,25,United-States,0
TRAIN_0134,32,,199244,10th,6,Divorced,,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0135,41,Local-gov,227644,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
TRAIN_0136,22,Private,305466,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
TRAIN_0137,53,Self-emp-inc,148532,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1
TRAIN_0138,19,,52114,Some-college,10,Never-married,,Own-child,White,Female,0,0,10,United-States,0
TRAIN_0139,35,Private,90406,11th,7,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
TRAIN_0140,42,Private,334783,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,0
TRAIN_0141,45,,189564,Masters,14,Married-civ-spouse,,Wife,White,Female,0,0,1,United-States,0
TRAIN_0142,39,Private,1455435,Assoc-acdm,12,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
TRAIN_0143,32,Private,141490,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,0
TRAIN_0144,26,Self-emp-not-inc,231714,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
TRAIN_0145,32,State-gov,304212,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
TRAIN_0146,23,Private,179423,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,5,United-States,0
TRAIN_0147,31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,,1
TRAIN_0148,22,,182387,Some-college,10,Never-married,,Not-in-family,Asian-Pac-Islander,Female,0,0,12,Thailand,0
TRAIN_0149,36,Private,242713,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,,0
TRAIN_0150,17,Private,130125,10th,6,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,1055,0,20,United-States,0
TRAIN_0151,21,,40052,Some-college,10,Never-married,,Not-in-family,White,Male,0,2001,45,United-States,0
TRAIN_0152,28,Private,70034,7th-8th,4,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,Portugal,0
TRAIN_0153,62,Private,224953,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
TRAIN_0154,55,Private,368797,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,1
TRAIN_0155,17,Private,193199,11th,7,Never-married,Sales,Unmarried,White,Female,0,0,12,Poland,0
TRAIN_0156,36,Private,160035,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,1
TRAIN_0157,50,Private,171199,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
TRAIN_0158,56,Private,73684,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,0
TRAIN_0159,35,Private,474136,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1408,40,United-States,0
TRAIN_0160,42,Private,108506,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States,0
TRAIN_0161,45,Self-emp-not-inc,328051,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,0
TRAIN_0162,51,Private,87205,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,20,United-States,1
TRAIN_0163,29,Private,242482,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,32,United-States,0
TRAIN_0164,49,Private,237920,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
TRAIN_0165,32,Private,309513,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
TRAIN_0166,38,Private,31033,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States,1
TRAIN_0167,38,Private,114059,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
TRAIN_0168,40,Private,117860,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0
TRAIN_0169,48,Private,240629,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,0
TRAIN_0170,30,Local-gov,159773,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States,1
TRAIN_0171,32,Private,206541,11th,7,Divorced,Craft-repair,Own-child,White,Male,0,0,50,United-States,0
TRAIN_0172,38,Self-emp-not-inc,53628,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Male,0,0,35,United-States,0
TRAIN_0173,41,Private,89226,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
TRAIN_0174,25,Private,198163,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,0
TRAIN_0175,40,State-gov,377018,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
TRAIN_0176,17,,634226,10th,6,Never-married,,Own-child,White,Female,0,0,17,United-States,0
TRAIN_0177,42,Federal-gov,46366,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
TRAIN_0178,50,Private,99392,Some-college,10,Divorced,Craft-repair,Not-in-family,Black,Female,0,0,45,United-States,0
TRAIN_0179,28,,149646,Some-college,10,Divorced,,Own-child,White,Female,0,0,20,,0
TRAIN_0180,19,Private,86150,11th,7,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,19,Philippines,0
TRAIN_0181,39,Private,388023,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,38,United-States,0
TRAIN_0182,63,Local-gov,28856,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,United-States,0
TRAIN_0183,41,Private,343121,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,36,United-States,0
TRAIN_0184,55,Private,201112,HS-grad,9,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,0
TRAIN_0185,29,,153167,Some-college,10,Never-married,,Own-child,Black,Female,0,0,40,United-States,0
TRAIN_0186,38,Self-emp-not-inc,245372,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,3137,0,50,United-States,0
TRAIN_0187,28,Private,292536,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,0
TRAIN_0188,57,Private,169329,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Black,Male,0,1887,40,Trinadad&Tobago,1
TRAIN_0189,27,Federal-gov,276776,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
TRAIN_0190,38,Local-gov,86643,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
TRAIN_0191,42,State-gov,160369,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,1
TRAIN_0192,58,Federal-gov,200042,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,1
TRAIN_0193,48,,63466,HS-grad,9,Married-spouse-absent,,Unmarried,White,Female,0,0,32,United-States,0
TRAIN_0194,23,Private,529223,Bachelors,13,Never-married,Sales,Own-child,Black,Male,0,0,10,United-States,0
TRAIN_0195,28,Private,96226,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
TRAIN_0196,30,Self-emp-not-inc,116666,Masters,14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,50,India,1
TRAIN_0197,27,Private,43652,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0198,24,Private,184400,HS-grad,9,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,30,,0
TRAIN_0199,49,,114648,12th,8,Divorced,,Other-relative,Black,Male,0,0,40,United-States,0
TRAIN_0200,31,Private,172304,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,1
TRAIN_0201,50,Self-emp-not-inc,156606,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,30,United-States,0
TRAIN_0202,23,Private,200973,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0203,60,Local-gov,149281,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
TRAIN_0204,36,Private,28996,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0
TRAIN_0205,17,Private,345403,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
TRAIN_0206,33,Federal-gov,331615,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,40,United-States,1
TRAIN_0207,45,Private,474617,HS-grad,9,Divorced,Sales,Unmarried,Black,Male,5455,0,40,United-States,0
TRAIN_0208,31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
TRAIN_0209,28,Private,210945,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,35,Haiti,0
TRAIN_0210,32,Self-emp-not-inc,319280,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,80,United-States,0
TRAIN_0211,30,Local-gov,27051,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
TRAIN_0212,47,Self-emp-inc,337050,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
TRAIN_0213,20,Private,116666,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,8,India,0
TRAIN_0214,20,,41183,Some-college,10,Never-married,,Own-child,White,Female,0,0,30,United-States,0
TRAIN_0215,30,,101697,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,0,20,United-States,0
TRAIN_0216,31,Private,106347,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,0
TRAIN_0217,59,Private,232672,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
TRAIN_0218,19,Private,115248,Some-college,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Vietnam,0
TRAIN_0219,18,Never-worked,206359,10th,6,Never-married,,Own-child,White,Male,0,0,40,United-States,0
TRAIN_0220,67,,63552,7th-8th,4,Widowed,,Not-in-family,White,Female,0,0,35,United-States,0
TRAIN_0221,37,Local-gov,365430,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Canada,1
TRAIN_0222,24,,175069,Bachelors,13,Never-married,,Not-in-family,White,Male,0,0,50,United-States,0
TRAIN_0223,64,,50171,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,10,United-States,0
